# index x y press_ms wait_ms radius
1 333 747 100 200 18
2 1106 546 100 10000 18
3 784 739 100 200 18
4 1370 438 100 200 18
5 854 742 100 200 18
6 1370 437 100 200 18
7 935 741 100 200 18
8 1369 439 100 200 18
9 1002 739 100 200 18
10 1370 437 100 200 18
11 701 744 100 200 18
12 1365 440 100 200 18
13 476 743 100 200 18
14 617 198 100 200 18
15 478 310 100 200 18
16 454 540 100 200 18
17 1203 313 100 200 18
18 337 446 100 200 18
19 587 663 100 200 18
20 1178 601 100 200 18
21 1327 399 100 200 18
22 1123 247 100 200 18
23 549 743 100 200 18
24 1362 434 100 200 18
25 1365 437 100 200 18
26 1371 437 100 200 18
27 1365 435 100 200 18
28 1367 438 100 200 18
29 1368 438 100 200 18
30 1365 437 100 200 18
31 1368 438 100 20000 18
32 785 739 100 200 18
33 854 741 100 200 18
34 934 742 100 200 18
35 934 743 100 200 18
36 1070 329 100 200 18
37 1068 437 100 200 18
38 1073 548 100 200 18
39 1002 737 100 200 18
40 1002 411 100 200 18
41 1005 489 100 200 18
42 1076 739 100 200 18
43 942 456 100 30000 18
44 340 657 100 200 18
45 961 551 100 10000 18
46 853 702 100 20000 18
