# index x y press_ms wait_ms radius
1 194 822 100 200 18
2 1222 587 100 10000 18
3 792 845 100 200 18
4 1582 443 100 200 18
5 898 843 100 200 18
6 1577 445 100 200 18
7 988 841 100 200 18
8 1586 440 100 200 18
9 1105 842 100 200 18
10 1586 441 100 200 18
11 689 849 100 200 18
12 1582 443 100 200 18
13 379 834 100 200 18
14 567 162 100 200 18
15 404 285 100 200 18
16 377 553 100 200 18
17 1322 229 100 200 18
18 238 436 100 200 18
19 515 664 100 200 18
20 1299 668 100 200 18
21 1428 297 100 200 18
22 1220 147 100 200 18
23 477 841 100 200 18
24 1582 440 100 200 18
25 1583 442 100 200 18
26 1583 440 100 200 18
27 1580 443 100 200 18
28 1585 442 100 200 18
29 1583 440 100 200 18
30 1582 441 100 200 18
31 1584 441 100 20000 18
32 790 846 100 200 18
33 895 845 100 200 18
34 989 842 100 200 18
35 990 844 100 200 18
36 1060 329 100 200 18
37 1103 431 100 200 18
38 1074 568 100 200 18
39 1104 842 100 200 18
40 1003 377 100 200 18
41 1005 493 100 200 18
42 1196 846 100 200 18
43 908 440 100 30000 18
44 204 720 100 200 18
45 944 568 100 10000 18
46 887 776 100 20000 18
