# index x y press_ms wait_ms radius
1 113 864 100 500 18
2 258 671 100 5000 18
3 1429 823 100 5000 18
4 757 871 100 200 18
5 1555 474 100 200 18
6 853 869 100 200 18
7 1552 475 100 200 18
8 976 872 100 200 18
9 1552 474 100 200 18
10 1082 873 100 200 18
11 1499 467 100 200 18
12 647 889 100 200 18
13 1553 475 100 200 18
14 533 887 100 200 18
15 1553 475 100 200 18
16 1552 476 100 200 18
17 1550 475 100 200 18
18 1551 474 100 200 18
19 1553 474 100 200 18
20 1551 476 100 200 18
21 422 896 100 200 18
22 1241 729 100 200 18
23 1477 547 100 200 18
24 1474 405 100 200 18
25 1307 268 100 200 18
26 440 678 100 200 18
27 357 333 100 200 18
28 634 128 100 200 18
29 1094 118 100 200 18
30 199 475 100 15000 18
31 1077 895 100 200 18
32 1068 310 100 200 18
33 1198 435 100 200 18
34 1110 573 100 200 18
35 1184 866 100 200 18
36 1010 379 100 200 18
37 1023 516 100 200 18
38 1069 442 100 200 18
39 972 441 100 200 18
40 759 894 100 200 18
41 852 890 100 200 18
42 977 893 100 30000 18
43 112 763 100 200 18
44 1007 607 100 500 18
45 859 823 100 5000 18
